time=6.345910667,thread=0,resp_time=7.4633932000000005,throughput=13.332114666951819,queue_time=0.601012125,queue_size=0,calculating=0.042410525000000004,waiting=6.673515275000001,mainthread=0.146455275,gets=40,sets=0
time=6.348913178,thread=1,resp_time=7.327919228571429,throughput=11.66560033358284,queue_time=0.6289727714285714,queue_size=0,calculating=0.04287442857142857,waiting=6.6084802571428565,mainthread=0.04759177142857143,gets=35,sets=0
time=6.349057488,thread=2,resp_time=8.702100757575758,throughput=10.99899460023525,queue_time=0.5376528484848485,queue_size=0,calculating=0.05383718181818182,waiting=8.05542206060606,mainthread=0.055188666666666664,gets=33,sets=0
time=6.349192297,thread=3,resp_time=6.35412645945946,throughput=12.332206066930432,queue_time=0.28438213513513516,queue_size=0,calculating=0.05023862162162162,waiting=5.9504684864864865,mainthread=0.06903721621621621,gets=37,sets=0
time=6.349322406,thread=4,resp_time=6.552876342857143,throughput=11.66560033358284,queue_time=0.5053498285714285,queue_size=0,calculating=0.04312574285714285,waiting=5.943425114285714,mainthread=0.06097565714285714,gets=35,sets=0
time=6.349449215,thread=5,resp_time=8.493383,throughput=10.99899460023525,queue_time=0.40177069696969697,queue_size=0,calculating=0.046254757575757574,waiting=8.002718303030303,mainthread=0.04263924242424243,gets=33,sets=0
time=6.349705833,thread=6,resp_time=5.110474861111111,throughput=11.998903200256636,queue_time=0.4853755,queue_size=0,calculating=0.05288427777777778,waiting=4.523931027777778,mainthread=0.04828405555555555,gets=36,sets=0
time=6.349864644,thread=7,resp_time=7.437698179487179,throughput=12.998811800278023,queue_time=0.40585925641025644,queue_size=0,calculating=0.059673384615384614,waiting=6.925313641025641,mainthread=0.04685189743589744,gets=39,sets=0
time=6.349971352,thread=8,resp_time=7.530094393939393,throughput=10.99899460023525,queue_time=0.38914557575757575,queue_size=0,calculating=0.04302106060606061,waiting=7.044996878787879,mainthread=0.052930878787878784,gets=33,sets=0
time=6.355726755,thread=9,resp_time=6.945041114285714,throughput=11.66560033358284,queue_time=0.5767032571428572,queue_size=0,calculating=0.03910277142857143,waiting=6.280763114285714,mainthread=0.04847197142857143,gets=35,sets=0
time=6.355910167,thread=10,resp_time=4.271316911764705,throughput=11.332297466909045,queue_time=0.605945411764706,queue_size=0,calculating=0.03836447058823529,waiting=3.5543314705882354,mainthread=0.07267555882352941,gets=34,sets=0
time=6.356260292,thread=11,resp_time=7.3064205,throughput=11.998903200256636,queue_time=0.4277020833333333,queue_size=0,calculating=0.03965836111111111,waiting=6.77695275,mainthread=0.062107305555555554,gets=36,sets=0
time=6.356360799,thread=12,resp_time=5.252289424242424,throughput=10.99899460023525,queue_time=0.4967924545454545,queue_size=0,calculating=0.044621242424242424,waiting=4.666230212121212,mainthread=0.04464551515151515,gets=33,sets=0
time=6.356459006,thread=13,resp_time=7.717852794117647,throughput=11.332297466909045,queue_time=0.2712366176470588,queue_size=0,calculating=0.04366182352941176,waiting=7.360663029411765,mainthread=0.04229132352941176,gets=34,sets=0
time=6.356556013,thread=14,resp_time=9.976117875,throughput=10.665691733561454,queue_time=0.36087528125,queue_size=0,calculating=0.08527159375,waiting=9.48306778125,mainthread=0.04690321875,gets=32,sets=0
time=6.356649619,thread=15,resp_time=7.781254117647059,throughput=11.332297466909045,queue_time=0.3985191176470588,queue_size=0,calculating=0.03956158823529412,waiting=7.273559705882353,mainthread=0.06961370588235294,gets=34,sets=0
time=6.35680793,thread=16,resp_time=7.2176544324324325,throughput=12.332206066930432,queue_time=0.582886972972973,queue_size=0,calculating=0.04140554054054054,waiting=6.533436189189189,mainthread=0.059925729729729725,gets=37,sets=0
time=6.357184857,thread=17,resp_time=9.9207014375,throughput=10.665691733561454,queue_time=0.41473534375,queue_size=0,calculating=0.03711203125,waiting=9.4074716875,mainthread=0.061382375,gets=32,sets=0
time=6.357301465,thread=18,resp_time=6.56002375,throughput=11.998903200256636,queue_time=0.6163293333333334,queue_size=0,calculating=0.03585513888888889,waiting=5.791936638888889,mainthread=0.1159026388888889,gets=36,sets=0
time=6.358346438,thread=19,resp_time=8.600581515151516,throughput=10.99899460023525,queue_time=0.30871875757575756,queue_size=2,calculating=0.03642972727272727,waiting=8.212642242424241,mainthread=0.04279078787878788,gets=33,sets=0
time=6.358443045,thread=20,resp_time=5.634134151515151,throughput=10.99899460023525,queue_time=0.6307956666666666,queue_size=6,calculating=0.035266181818181815,waiting=4.924926818181818,mainthread=0.04314548484848485,gets=33,sets=0
time=6.358540952,thread=21,resp_time=6.295138513513514,throughput=12.332206066930432,queue_time=0.6562108378378378,queue_size=6,calculating=0.036148486486486484,waiting=5.552053972972973,mainthread=0.050725216216216215,gets=37,sets=0
time=6.358683262,thread=22,resp_time=5.528398555555556,throughput=11.998903200256636,queue_time=0.38035169444444444,queue_size=6,calculating=0.03939438888888889,waiting=5.060963,mainthread=0.047689472222222216,gets=36,sets=0
time=6.358780268,thread=23,resp_time=5.948705861111111,throughput=11.998903200256636,queue_time=0.6314025555555555,queue_size=5,calculating=0.042889166666666666,waiting=5.223699416666667,mainthread=0.05071472222222222,gets=36,sets=0
time=6.358877775,thread=24,resp_time=8.316999611111111,throughput=11.998903200256636,queue_time=0.3356652222222222,queue_size=4,calculating=0.13790408333333334,waiting=7.700617555555556,mainthread=0.14281275,gets=36,sets=0
time=6.359011585,thread=25,resp_time=6.612287666666667,throughput=10.99899460023525,queue_time=0.5177272121212121,queue_size=1,calculating=0.04531224242424242,waiting=6.001050878787879,mainthread=0.048197333333333335,gets=33,sets=0
time=6.359118992,thread=26,resp_time=6.547497777777778,throughput=11.998903200256636,queue_time=0.4442838611111111,queue_size=0,calculating=0.03514133333333334,waiting=6.006251527777778,mainthread=0.06182105555555555,gets=36,sets=0
time=6.359294704,thread=27,resp_time=6.575700333333333,throughput=10.99899460023525,queue_time=0.3882028787878788,queue_size=0,calculating=0.04704269696969697,waiting=5.949038181818182,mainthread=0.19141657575757576,gets=33,sets=0
time=6.359413413,thread=28,resp_time=8.324396307692307,throughput=12.998811800278023,queue_time=0.5977496153846154,queue_size=0,calculating=0.03435879487179488,waiting=7.652290179487179,mainthread=0.03999771794871795,gets=39,sets=0
time=6.359875945,thread=29,resp_time=6.870111757575758,throughput=10.99899460023525,queue_time=0.45995042424242427,queue_size=0,calculating=0.04978833333333334,waiting=6.315827515151516,mainthread=0.04454548484848485,gets=33,sets=0
time=6.359976752,thread=30,resp_time=5.671425172413794,throughput=9.665783133540067,queue_time=0.5443485862068966,queue_size=0,calculating=0.04679293103448276,waiting=5.0325803103448274,mainthread=0.04770334482758621,gets=29,sets=0
time=6.360149864,thread=31,resp_time=7.209450290322581,throughput=10.332388866887658,queue_time=0.32990696774193545,queue_size=0,calculating=0.03540258064516129,waiting=6.78958529032258,mainthread=0.054555451612903226,gets=31,sets=0
time=6.360247071,thread=32,resp_time=7.0496637575757575,throughput=10.99899460023525,queue_time=0.29033539393939395,queue_size=0,calculating=0.03762984848484849,waiting=6.632652787878788,mainthread=0.08904572727272728,gets=33,sets=0
time=6.360401682,thread=33,resp_time=4.588315888888889,throughput=11.998903200256636,queue_time=0.43105527777777775,queue_size=0,calculating=0.03822761111111111,waiting=4.074499444444444,mainthread=0.044533555555555555,gets=36,sets=0
time=6.360493288,thread=34,resp_time=8.680997714285715,throughput=9.332480266866273,queue_time=0.24347417857142858,queue_size=0,calculating=0.04494946428571428,waiting=8.19526375,mainthread=0.1973103214285714,gets=28,sets=0
time=6.360583095,thread=35,resp_time=8.4152031,throughput=9.999086000213863,queue_time=0.4388641,queue_size=0,calculating=0.0417063,waiting=7.894023233333334,mainthread=0.04060946666666667,gets=30,sets=0
time=6.360682902,thread=36,resp_time=7.167299352941177,throughput=11.332297466909045,queue_time=0.49194623529411763,queue_size=0,calculating=0.04435029411764706,waiting=6.571078088235295,mainthread=0.059924735294117654,gets=34,sets=0
time=6.366864634,thread=37,resp_time=8.161275400000001,throughput=9.999086000213863,queue_time=0.4123521,queue_size=0,calculating=0.03942296666666667,waiting=7.649189366666667,mainthread=0.06031096666666667,gets=30,sets=0
time=6.366934239,thread=38,resp_time=5.90158225,throughput=10.665691733561454,queue_time=0.30990615625,queue_size=0,calculating=0.0407028125,waiting=5.50593275,mainthread=0.04504053125,gets=32,sets=0
time=6.366995344,thread=39,resp_time=4.638731677419355,throughput=10.332388866887658,queue_time=0.31497693548387096,queue_size=0,calculating=0.0376123870967742,waiting=4.228228580645162,mainthread=0.05791377419354839,gets=31,sets=0
time=6.367124253,thread=40,resp_time=8.857382931034483,throughput=9.665783133540067,queue_time=0.3786197586206897,queue_size=0,calculating=0.0344748275862069,waiting=8.211903103448275,mainthread=0.23238524137931035,gets=29,sets=0
time=6.367187857,thread=41,resp_time=9.93539958064516,throughput=10.332388866887658,queue_time=0.2816970967741936,queue_size=0,calculating=0.0455548064516129,waiting=9.557563516129031,mainthread=0.05058416129032258,gets=31,sets=0
time=6.367247261,thread=42,resp_time=5.662632451612903,throughput=10.332388866887658,queue_time=0.5868863225806452,queue_size=0,calculating=0.04545467741935484,waiting=4.9779038064516135,mainthread=0.052387645161290325,gets=31,sets=0
time=6.367309166,thread=43,resp_time=9.2732124375,throughput=10.665691733561454,queue_time=1.1194535,queue_size=0,calculating=0.0424405,waiting=8.070653125,mainthread=0.0406653125,gets=32,sets=0
time=6.36737127,thread=44,resp_time=6.474314916666667,throughput=11.998903200256636,queue_time=1.2846763333333333,queue_size=0,calculating=0.03867483333333334,waiting=5.108599722222222,mainthread=0.04236402777777778,gets=36,sets=0
time=6.367433674,thread=45,resp_time=5.910902303030303,throughput=10.99899460023525,queue_time=1.1404648181818182,queue_size=0,calculating=0.05989512121212122,waiting=4.658911424242424,mainthread=0.05163093939393939,gets=33,sets=0
time=6.367535781,thread=46,resp_time=9.763402515151515,throughput=10.99899460023525,queue_time=1.3074340303030303,queue_size=0,calculating=0.03718436363636364,waiting=8.37459312121212,mainthread=0.044191,gets=33,sets=0
time=6.367686692,thread=47,resp_time=6.277454705882353,throughput=11.332297466909045,queue_time=0.571772411764706,queue_size=0,calculating=0.042602941176470586,waiting=5.600251294117648,mainthread=0.06282805882352942,gets=34,sets=0
time=6.367876105,thread=48,resp_time=5.914067529411764,throughput=11.332297466909045,queue_time=0.4674297647058823,queue_size=0,calculating=0.033661176470588236,waiting=5.36231705882353,mainthread=0.05065952941176471,gets=34,sets=0
time=6.368010215,thread=49,resp_time=8.416889764705882,throughput=11.332297466909045,queue_time=0.6949692058823529,queue_size=0,calculating=0.03723494117647059,waiting=7.631478911764706,mainthread=0.05320670588235295,gets=34,sets=0
time=6.368098221,thread=50,resp_time=9.849416794117646,throughput=11.332297466909045,queue_time=0.46620326470588236,queue_size=0,calculating=0.03992338235294118,waiting=9.302375470588235,mainthread=0.04091467647058824,gets=34,sets=0
time=6.368161925,thread=51,resp_time=6.417546882352941,throughput=11.332297466909045,queue_time=0.4522905,queue_size=0,calculating=0.04003517647058824,waiting=5.878988470588236,mainthread=0.04623273529411765,gets=34,sets=0
time=6.36822423,thread=52,resp_time=6.1489338823529405,throughput=11.332297466909045,queue_time=0.43204202941176467,queue_size=0,calculating=0.03976158823529412,waiting=5.636392117647059,mainthread=0.04073814705882353,gets=34,sets=0
time=6.368286034,thread=53,resp_time=7.7955369375,throughput=10.665691733561454,queue_time=0.415257125,queue_size=0,calculating=0.04206546875,waiting=7.126752625,mainthread=0.21146171875,gets=32,sets=0
time=6.368346338,thread=54,resp_time=5.622169848484849,throughput=10.99899460023525,queue_time=0.3187132727272727,queue_size=0,calculating=0.04332127272727273,waiting=5.215562545454546,mainthread=0.04457275757575758,gets=33,sets=0
time=6.368640659,thread=55,resp_time=6.930228866666666,throughput=9.999086000213863,queue_time=0.4750533333333333,queue_size=0,calculating=0.039069400000000004,waiting=6.377353599999999,mainthread=0.03875253333333333,gets=30,sets=0
time=6.368707964,thread=56,resp_time=7.0848531891891895,throughput=12.332206066930432,queue_time=0.3545762702702703,queue_size=0,calculating=0.041762351351351354,waiting=6.629283432432433,mainthread=0.059231135135135136,gets=37,sets=0
time=6.368774568,thread=57,resp_time=9.236092787878787,throughput=10.99899460023525,queue_time=0.5119359393939394,queue_size=0,calculating=0.03851781818181818,waiting=8.644717939393939,mainthread=0.040921090909090914,gets=33,sets=0
time=6.368839073,thread=58,resp_time=7.1194864375,throughput=10.665691733561454,queue_time=0.46235103125,queue_size=0,calculating=0.03686521875,waiting=6.58569896875,mainthread=0.03457121875,gets=32,sets=0
time=6.368904177,thread=59,resp_time=6.696481029411765,throughput=11.332297466909045,queue_time=0.5936150882352941,queue_size=0,calculating=0.03984408823529412,waiting=6.026501705882353,mainthread=0.03652014705882353,gets=34,sets=0
time=6.368966282,thread=60,resp_time=5.777443548387097,throughput=10.332388866887658,queue_time=0.6121364838709678,queue_size=0,calculating=0.04390945161290323,waiting=5.078333387096774,mainthread=0.04306422580645161,gets=31,sets=0
time=6.369030386,thread=61,resp_time=5.56940194117647,throughput=11.332297466909045,queue_time=0.4340245882352941,queue_size=0,calculating=0.045055970588235295,waiting=5.048033147058823,mainthread=0.04228823529411765,gets=34,sets=0
time=6.36909009,thread=62,resp_time=7.396989354838709,throughput=10.332388866887658,queue_time=0.30679887096774194,queue_size=0,calculating=0.03765432258064516,waiting=6.970820774193548,mainthread=0.0817153870967742,gets=31,sets=0
time=6.369153195,thread=63,resp_time=6.661916842105263,throughput=12.665508933604228,queue_time=0.6029292105263159,queue_size=0,calculating=0.03771568421052631,waiting=5.966794526315789,mainthread=0.05447742105263158,gets=38,sets=0
time=9.370337692,thread=0,resp_time=6.892357540983606,throughput=20.168269939813946,queue_time=0.24377932786885248,queue_size=0,calculating=0.03214980327868852,waiting=6.592554590163934,mainthread=0.023873819672131147,gets=61,sets=0
time=9.370497403,thread=1,resp_time=8.20447861904762,throughput=20.829524691938992,queue_time=0.2661630317460318,queue_size=0,calculating=0.06778887301587302,waiting=7.844621698412698,mainthread=0.02590501587301587,gets=63,sets=0
time=9.370569708,thread=2,resp_time=6.6780993380281695,throughput=23.474543700439185,queue_time=0.26441281690140844,queue_size=0,calculating=0.033108014084507045,waiting=6.356892323943661,mainthread=0.023686183098591548,gets=71,sets=0
time=9.370628912,thread=3,resp_time=6.111353672131147,throughput=20.168269939813946,queue_time=0.4287414918032787,queue_size=0,calculating=0.03543691803278688,waiting=5.625254032786885,mainthread=0.02192122950819672,gets=61,sets=0
time=9.370699517,thread=4,resp_time=7.008724671875,throughput=21.160152068001516,queue_time=0.245581203125,queue_size=0,calculating=0.040995046875,waiting=6.696815359375,mainthread=0.0253330625,gets=64,sets=0
time=9.370758421,thread=5,resp_time=8.257298969230769,throughput=21.490779444064042,queue_time=0.25255613846153846,queue_size=0,calculating=0.03435773846153846,waiting=7.940329138461538,mainthread=0.030055953846153848,gets=65,sets=0
time=9.370816925,thread=6,resp_time=8.496554634920635,throughput=20.829524691938992,queue_time=0.28600255555555554,queue_size=0,calculating=0.031526031746031746,waiting=8.151898777777777,mainthread=0.02712726984126984,gets=63,sets=0
time=9.370877029,thread=7,resp_time=7.297110333333333,throughput=22.813288948314135,queue_time=0.2982484202898551,queue_size=0,calculating=0.03218331884057971,waiting=6.941585507246377,mainthread=0.02509308695652174,gets=69,sets=0
time=9.370936933,thread=8,resp_time=6.7765313235294125,throughput=22.48266157225161,queue_time=0.2758722794117647,queue_size=0,calculating=0.030988823529411767,waiting=6.437437044117647,mainthread=0.03223317647058824,gets=68,sets=0
time=9.370998138,thread=9,resp_time=7.861319492753623,throughput=22.813288948314135,queue_time=0.3079085217391304,queue_size=0,calculating=0.03824324637681159,waiting=7.4915269565217395,mainthread=0.02364076811594203,gets=69,sets=0
time=9.371187051,thread=10,resp_time=7.974460967741935,throughput=20.49889731587647,queue_time=0.2441669193548387,queue_size=0,calculating=0.031961967741935486,waiting=7.675154516129033,mainthread=0.023177564516129033,gets=62,sets=0
time=9.371266056,thread=11,resp_time=9.21966732835821,throughput=22.15203419618909,queue_time=0.3179760895522388,queue_size=0,calculating=0.033641179104477614,waiting=8.83864952238806,mainthread=0.029400537313432836,gets=67,sets=0
time=9.371333761,thread=12,resp_time=6.209674276923077,throughput=21.490779444064042,queue_time=0.3431024153846154,queue_size=0,calculating=0.030257476923076922,waiting=5.812275692307692,mainthread=0.02403869230769231,gets=65,sets=0
time=9.371395565,thread=13,resp_time=8.285267242424242,throughput=21.821406820126565,queue_time=0.2827455606060606,queue_size=0,calculating=0.03080821212121212,waiting=7.941453742424242,mainthread=0.03025972727272727,gets=66,sets=0
time=9.371490772,thread=14,resp_time=7.362404107692308,throughput=21.490779444064042,queue_time=0.29272521538461543,queue_size=0,calculating=0.03523932307692308,waiting=7.009593323076923,mainthread=0.024846246153846153,gets=65,sets=0
time=9.371552076,thread=15,resp_time=8.565438647058825,throughput=22.48266157225161,queue_time=0.32289317647058824,queue_size=0,calculating=0.03392151470588235,waiting=8.178291,mainthread=0.03033295588235294,gets=68,sets=0
time=9.37160988,thread=16,resp_time=7.144715507936509,throughput=20.829524691938992,queue_time=0.25906885714285716,queue_size=0,calculating=0.030397444444444446,waiting=6.8323777619047625,mainthread=0.022871444444444444,gets=63,sets=0
time=9.371667784,thread=17,resp_time=8.386709661538461,throughput=21.490779444064042,queue_time=0.29848704615384614,queue_size=0,calculating=0.03118833846153846,waiting=8.031057030769231,mainthread=0.025977246153846154,gets=65,sets=0
time=9.371728289,thread=18,resp_time=6.417529212121212,throughput=21.821406820126565,queue_time=0.2876291515151515,queue_size=0,calculating=0.08354675757575757,waiting=6.019025606060606,mainthread=0.027327696969696967,gets=66,sets=0
time=9.371785393,thread=19,resp_time=8.193488461538461,throughput=21.490779444064042,queue_time=0.25519329230769233,queue_size=0,calculating=0.03563316923076923,waiting=7.877557138461539,mainthread=0.02510486153846154,gets=65,sets=0
time=9.371845997,thread=20,resp_time=7.321288913043478,throughput=22.813288948314135,queue_time=0.3171946231884058,queue_size=0,calculating=0.032679057971014495,waiting=6.94791068115942,mainthread=0.02350455072463768,gets=69,sets=0
time=9.371904201,thread=21,resp_time=7.838252846153846,throughput=21.490779444064042,queue_time=0.3091324153846154,queue_size=0,calculating=0.03825346153846154,waiting=7.465980584615385,mainthread=0.024886384615384616,gets=65,sets=0
time=9.371964305,thread=22,resp_time=8.287987102941177,throughput=22.48266157225161,queue_time=0.2416713970588235,queue_size=0,calculating=0.03523333823529412,waiting=7.985564397058823,mainthread=0.025517970588235295,gets=68,sets=0
time=9.372079713,thread=23,resp_time=6.933293676470588,throughput=22.48266157225161,queue_time=0.3704772647058823,queue_size=0,calculating=0.031572897058823525,waiting=6.4901376176470595,mainthread=0.04110589705882353,gets=68,sets=0
time=9.372140517,thread=24,resp_time=8.000916538461539,throughput=21.490779444064042,queue_time=0.22824215384615384,queue_size=0,calculating=0.03527632307692308,waiting=7.711722430769231,mainthread=0.02567563076923077,gets=65,sets=0
time=9.372195521,thread=25,resp_time=5.976775222222222,throughput=20.829524691938992,queue_time=0.25257160317460314,queue_size=0,calculating=0.03382768253968254,waiting=5.665012222222222,mainthread=0.025363714285714285,gets=63,sets=0
time=9.372254525,thread=26,resp_time=7.0331435,throughput=21.821406820126565,queue_time=0.24399131818181818,queue_size=0,calculating=0.03369027272727273,waiting=6.732008772727273,mainthread=0.023453136363636364,gets=66,sets=0
time=9.372310929,thread=27,resp_time=7.5158301212121215,throughput=21.821406820126565,queue_time=0.24016678787878787,queue_size=0,calculating=0.030344545454545457,waiting=7.2169380151515155,mainthread=0.028380772727272727,gets=66,sets=0
time=9.372375634,thread=28,resp_time=8.763351657142858,throughput=23.143916324376658,queue_time=0.5097442571428571,queue_size=0,calculating=0.03193931428571428,waiting=8.198659285714285,mainthread=0.0230088,gets=70,sets=0
time=9.372433738,thread=29,resp_time=7.038852323076924,throughput=21.490779444064042,queue_time=0.22272487692307694,queue_size=0,calculating=0.03100366153846154,waiting=6.757506538461538,mainthread=0.027617246153846153,gets=65,sets=0
time=9.372489242,thread=30,resp_time=9.429961142857143,throughput=20.829524691938992,queue_time=0.3871652063492063,queue_size=0,calculating=0.031341825396825396,waiting=8.978870873015873,mainthread=0.032583238095238096,gets=63,sets=0
time=9.372551846,thread=31,resp_time=8.87661347826087,throughput=22.813288948314135,queue_time=0.26322714492753624,queue_size=0,calculating=0.042975478260869567,waiting=8.540955260869564,mainthread=0.02945559420289855,gets=69,sets=0
time=9.372706757,thread=32,resp_time=8.489317887096774,throughput=20.49889731587647,queue_time=0.41751153225806453,queue_size=0,calculating=0.03132151612903226,waiting=8.017562306451612,mainthread=0.022922532258064517,gets=62,sets=0
time=9.372771761,thread=33,resp_time=7.55733316923077,throughput=21.490779444064042,queue_time=0.3563633692307692,queue_size=0,calculating=0.029832907692307693,waiting=7.145693584615384,mainthread=0.025443307692307692,gets=65,sets=0
time=9.372826665,thread=34,resp_time=6.626728123076923,throughput=21.490779444064042,queue_time=0.2828305230769231,queue_size=0,calculating=0.03245461538461538,waiting=6.288229046153846,mainthread=0.023213938461538464,gets=65,sets=0
time=9.372942073,thread=35,resp_time=6.369868485714286,throughput=23.143916324376658,queue_time=0.24931464285714286,queue_size=0,calculating=0.030483514285714285,waiting=6.064445628571429,mainthread=0.0256247,gets=70,sets=0
time=9.37303098,thread=36,resp_time=7.366751682539683,throughput=20.829524691938992,queue_time=0.3743784761904762,queue_size=0,calculating=0.0322404126984127,waiting=6.935983476190476,mainthread=0.024149317460317458,gets=63,sets=0
time=9.373090684,thread=37,resp_time=6.66925696875,throughput=21.160152068001516,queue_time=0.378729625,queue_size=0,calculating=0.034789921875,waiting=6.233982859375,mainthread=0.0217545625,gets=64,sets=0
