time=6.350140696,thread=0,resp_time=1.6626228208955223,throughput=22.33103696580903,queue_time=0.22291476119402986,queue_size=0,calculating=0.03288043283582089,waiting=1.2027522388059702,mainthread=0.2040753880597015,gets=67,sets=0
time=6.353608634,thread=1,resp_time=1.3720019649122808,throughput=18.998046373897232,queue_time=0.14399343859649125,queue_size=0,calculating=0.03665756140350877,waiting=1.1293203684210527,mainthread=0.062030596491228066,gets=57,sets=0
time=6.353730138,thread=2,resp_time=1.4527541379310345,throughput=19.331345433088412,queue_time=0.1491007931034483,queue_size=0,calculating=0.04209131034482759,waiting=1.2015821379310345,mainthread=0.059979896551724136,gets=58,sets=0
time=6.353852743,thread=3,resp_time=1.6860908412698412,throughput=20.99784072904431,queue_time=0.13455931746031746,queue_size=1,calculating=0.036771285714285715,waiting=1.4665058888888889,mainthread=0.04825434920634921,gets=63,sets=0
time=6.353978348,thread=4,resp_time=1.4696084107142857,throughput=18.664747314706055,queue_time=0.2231070892857143,queue_size=0,calculating=0.03836228571428572,waiting=1.1587013392857144,mainthread=0.049437696428571425,gets=56,sets=0
time=6.354093553,thread=5,resp_time=1.5345539649122806,throughput=18.998046373897232,queue_time=0.14115657894736844,queue_size=0,calculating=0.03678559649122807,waiting=1.3036693157894736,mainthread=0.052942473684210525,gets=57,sets=0
time=6.354211658,thread=6,resp_time=1.4845884426229508,throughput=20.331242610661953,queue_time=0.12414418032786885,queue_size=0,calculating=0.03730811475409836,waiting=1.258097475409836,mainthread=0.06503867213114754,gets=61,sets=0
time=6.354329062,thread=7,resp_time=1.5587723275862069,throughput=19.331345433088412,queue_time=0.12103758620689654,queue_size=0,calculating=0.035147879310344826,waiting=1.355097,mainthread=0.047489862068965515,gets=58,sets=0
time=6.354444667,thread=8,resp_time=1.4428198035714286,throughput=18.664747314706055,queue_time=0.112588375,queue_size=0,calculating=0.03756578571428572,waiting=1.2430333035714287,mainthread=0.04963233928571428,gets=56,sets=0
time=6.354561471,thread=9,resp_time=1.4778667903225806,throughput=20.66454166985313,queue_time=0.17373103225806452,queue_size=0,calculating=0.037688693548387095,waiting=1.2190999677419354,mainthread=0.04734709677419355,gets=62,sets=0
time=6.354681676,thread=10,resp_time=1.6239612950819673,throughput=20.331242610661953,queue_time=0.19660603278688524,queue_size=1,calculating=0.04051152459016394,waiting=1.3334169180327868,mainthread=0.05342681967213115,gets=61,sets=0
time=6.354824682,thread=11,resp_time=1.5949972033898305,throughput=19.664644492279592,queue_time=0.2660714915254237,queue_size=0,calculating=0.034869254237288136,waiting=1.2446494576271185,mainthread=0.049407,gets=59,sets=0
time=6.354942787,thread=12,resp_time=1.4106480322580646,throughput=20.66454166985313,queue_time=0.16910024193548387,queue_size=0,calculating=0.03372395161290323,waiting=1.0757379193548389,mainthread=0.1320859193548387,gets=62,sets=0
time=6.355059391,thread=13,resp_time=1.2652621016949153,throughput=19.664644492279592,queue_time=0.12828474576271187,queue_size=0,calculating=0.036681033898305085,waiting=1.0421261525423728,mainthread=0.058170169491525425,gets=59,sets=0
