time=6.316632939,thread=0,resp_time=7.4328107999999995,throughput=19.997838693587514,queue_time=0.35788806666666667,queue_size=0,calculating=0.04252513333333333,waiting=6.8088867,mainthread=0.22351089999999998,gets=60,sets=0
time=6.319462356,thread=1,resp_time=7.0756296615384615,throughput=21.664325251386472,queue_time=0.3360138153846154,queue_size=0,calculating=0.04359564615384615,waiting=6.647601230769231,mainthread=0.04841896923076923,gets=65,sets=0
time=6.319589662,thread=2,resp_time=7.7276025,throughput=21.33102793982668,queue_time=0.3176506875,queue_size=0,calculating=0.037728078125,waiting=7.260081609375,mainthread=0.112142125,gets=64,sets=0
time=6.319702266,thread=3,resp_time=6.765067578947368,throughput=18.99794675890814,queue_time=0.3541391578947369,queue_size=0,calculating=0.04484043859649123,waiting=6.3240475789473685,mainthread=0.04204040350877193,gets=57,sets=0
time=6.319820771,thread=4,resp_time=6.694019540983606,throughput=20.331136005147304,queue_time=0.2585615245901639,queue_size=0,calculating=0.043185393442622955,waiting=6.337519557377049,mainthread=0.05475306557377049,gets=61,sets=0
time=6.319937376,thread=5,resp_time=7.223218475409836,throughput=20.331136005147304,queue_time=0.34759959016393444,queue_size=0,calculating=0.039805,waiting=6.789700540983606,mainthread=0.04611334426229508,gets=61,sets=0
time=6.320057781,thread=6,resp_time=6.386664264705883,throughput=22.664217186065848,queue_time=0.23492735294117648,queue_size=0,calculating=0.04404889705882353,waiting=6.047525279411765,mainthread=0.06016273529411765,gets=68,sets=0
time=6.320238889,thread=7,resp_time=6.7216641692307695,throughput=21.664325251386472,queue_time=0.23024495384615384,queue_size=0,calculating=0.04021544615384615,waiting=6.399343215384616,mainthread=0.051860553846153845,gets=65,sets=0
time=6.320363094,thread=8,resp_time=6.747762454545454,throughput=21.997622562946265,queue_time=0.29404553030303027,queue_size=0,calculating=0.036436303030303034,waiting=6.369840818181818,mainthread=0.047439803030303034,gets=66,sets=0
time=6.320485899,thread=9,resp_time=7.008609,throughput=20.99773062826689,queue_time=0.41219009523809524,queue_size=0,calculating=0.04461765079365079,waiting=6.483960317460317,mainthread=0.0678409365079365,gets=63,sets=0
time=6.320603304,thread=10,resp_time=7.31200427118644,throughput=19.66454138202772,queue_time=0.30961116949152545,queue_size=0,calculating=0.054376830508474576,waiting=6.889929101694915,mainthread=0.058087169491525426,gets=59,sets=0
time=6.320742809,thread=11,resp_time=6.9296506875,throughput=21.33102793982668,queue_time=0.32861825,queue_size=0,calculating=0.04150171875,waiting=6.514900765625,mainthread=0.044629953125,gets=64,sets=0
time=6.32100042,thread=12,resp_time=8.097028491803279,throughput=20.331136005147304,queue_time=0.38824388524590164,queue_size=0,calculating=0.03971481967213115,waiting=7.525219557377048,mainthread=0.14385022950819673,gets=61,sets=0
time=6.321125025,thread=13,resp_time=7.20799331147541,throughput=20.331136005147304,queue_time=0.22831275409836066,queue_size=0,calculating=0.04443952459016393,waiting=6.736098360655738,mainthread=0.19914267213114753,gets=61,sets=0
time=6.321279432,thread=14,resp_time=6.929914225806451,throughput=20.664433316707097,queue_time=0.3464853548387097,queue_size=0,calculating=0.04310824193548387,waiting=6.485252225806452,mainthread=0.05506840322580645,gets=62,sets=0
time=6.321411637,thread=15,resp_time=7.304567875,throughput=21.33102793982668,queue_time=0.2603983125,queue_size=0,calculating=0.0423266875,waiting=6.8683733125,mainthread=0.1334695625,gets=64,sets=0
time=6.321539342,thread=16,resp_time=7.075404576271187,throughput=19.66454138202772,queue_time=0.3306000847457627,queue_size=0,calculating=0.04036103389830508,waiting=6.659517898305085,mainthread=0.044925559322033896,gets=59,sets=0
time=6.321659547,thread=17,resp_time=6.907121819672131,throughput=20.331136005147304,queue_time=0.21123503278688524,queue_size=0,calculating=0.041196754098360655,waiting=6.6075208688524585,mainthread=0.04716916393442623,gets=61,sets=0
time=6.321778852,thread=18,resp_time=8.615093661016948,throughput=19.66454138202772,queue_time=0.3330493220338983,queue_size=0,calculating=0.03899654237288135,waiting=8.107060813559322,mainthread=0.13598698305084744,gets=59,sets=0
time=6.327138774,thread=19,resp_time=7.539758693548387,throughput=20.664433316707097,queue_time=0.29137982258064515,queue_size=0,calculating=0.040322596774193545,waiting=7.148305387096774,mainthread=0.059750887096774195,gets=62,sets=0
time=6.327258579,thread=20,resp_time=6.2778925,throughput=21.33102793982668,queue_time=0.25525896875,queue_size=0,calculating=0.041215828125,waiting=5.931968765625,mainthread=0.0494489375,gets=64,sets=0
time=6.327422086,thread=21,resp_time=6.520328833333333,throughput=21.997622562946265,queue_time=0.24764965151515153,queue_size=1,calculating=0.0409805,waiting=6.188466590909091,mainthread=0.043232090909090914,gets=66,sets=0
time=6.327651595,thread=22,resp_time=6.671428292307692,throughput=21.664325251386472,queue_time=0.3183116307692308,queue_size=0,calculating=0.04166332307692308,waiting=6.2657791846153845,mainthread=0.045674153846153843,gets=65,sets=0
time=6.3277704,thread=23,resp_time=6.669100890625,throughput=21.33102793982668,queue_time=0.238739578125,queue_size=1,calculating=0.04263140625,waiting=6.33033534375,mainthread=0.0573945625,gets=64,sets=0
time=6.327878805,thread=24,resp_time=7.053471222222222,throughput=20.99773062826689,queue_time=0.3061174126984127,queue_size=4,calculating=0.038461920634920634,waiting=6.659429507936508,mainthread=0.04946238095238095,gets=63,sets=0
time=6.327987409,thread=25,resp_time=7.831746431034483,throughput=19.33124407046793,queue_time=0.35271456896551723,queue_size=7,calculating=0.04018787931034483,waiting=7.383705482758621,mainthread=0.0551385,gets=58,sets=0
time=6.328152216,thread=26,resp_time=6.908778184615385,throughput=21.664325251386472,queue_time=0.4285515076923077,queue_size=6,calculating=0.03676461538461538,waiting=6.383017969230769,mainthread=0.06044409230769231,gets=65,sets=0
time=6.328289322,thread=27,resp_time=7.6398434032258065,throughput=20.664433316707097,queue_time=0.3136904193548387,queue_size=5,calculating=0.037958016129032254,waiting=7.199928435483871,mainthread=0.08826653225806451,gets=62,sets=0
time=6.332198883,thread=28,resp_time=6.677164045454546,throughput=21.997622562946265,queue_time=0.20861624242424243,queue_size=0,calculating=0.0384364696969697,waiting=6.300596939393939,mainthread=0.12951439393939393,gets=66,sets=0
time=6.332313188,thread=29,resp_time=6.85023334375,throughput=21.33102793982668,queue_time=0.24515696875,queue_size=1,calculating=0.040936078125,waiting=6.517289921875,mainthread=0.046850375,gets=64,sets=0
time=6.332418493,thread=30,resp_time=6.319137984375,throughput=21.33102793982668,queue_time=0.237692703125,queue_size=3,calculating=0.039289140625,waiting=5.999668484375,mainthread=0.04248765625,gets=64,sets=0
time=6.332522697,thread=31,resp_time=6.6953915,throughput=20.664433316707097,queue_time=0.33280403225806454,queue_size=1,calculating=0.044355,waiting=6.18047829032258,mainthread=0.13775417741935486,gets=62,sets=0
time=9.333135338,thread=0,resp_time=7.656648890510949,throughput=45.41599155712341,queue_time=0.2517987299270073,queue_size=0,calculating=0.03959946715328467,waiting=7.3391904817518245,mainthread=0.02606021167883212,gets=137,sets=0
time=9.333339547,thread=1,resp_time=6.912852659090909,throughput=43.75847361708241,queue_time=0.2736143939393939,queue_size=0,calculating=0.03202855303030303,waiting=6.582327681818182,mainthread=0.024882030303030305,gets=132,sets=0
time=9.333460052,thread=2,resp_time=7.384469151515152,throughput=43.75847361708241,queue_time=0.231746,queue_size=0,calculating=0.03086871212121212,waiting=7.09402528030303,mainthread=0.027829159090909092,gets=132,sets=0
time=9.333595357,thread=3,resp_time=7.339932570370371,throughput=44.75298438110701,queue_time=0.2626479259259259,queue_size=0,calculating=0.03212355555555556,waiting=7.0222438296296295,mainthread=0.02291725925925926,gets=135,sets=0
time=9.333716062,thread=4,resp_time=7.559146868217054,throughput=42.76396285305781,queue_time=0.29050970542635657,queue_size=0,calculating=0.03237037209302326,waiting=7.212399162790698,mainthread=0.023867627906976743,gets=129,sets=0
time=9.334228183,thread=5,resp_time=7.411982213740457,throughput=43.42697002907421,queue_time=0.2583060610687023,queue_size=0,calculating=0.031127290076335877,waiting=7.095540083969466,mainthread=0.0270087786259542,gets=131,sets=0
time=9.334355789,thread=6,resp_time=7.259171575539568,throughput=46.07899873313981,queue_time=0.2243208561151079,queue_size=0,calculating=0.031065330935251798,waiting=6.975361201438849,mainthread=0.028424187050359713,gets=139,sets=0
time=9.334476194,thread=7,resp_time=7.556373100775193,throughput=42.76396285305781,queue_time=0.29494478294573645,queue_size=0,calculating=0.034763387596899224,waiting=7.201125852713178,mainthread=0.025539077519379845,gets=129,sets=0
